,2008 [YR2008],2012 [YR2012]
77562,0.908601133,0.908601133
78105,0.862571429,0.862571429
78164,0.035585714,0.035585714
78299,0.0249,0.0249
78576,0.007857143,0.007857143
79501,0.008338599,0.008338599
79636,0.128414286,0.128414286
79913,0.045714286,0.045714286
80236,0.410604243,0.410604243
80838,0.002649685,0.002649685
80973,0.073657143,0.073657143
81250,0.014571429,0.014571429
81573,0.978814486,0.978814486
82116,0.991,0.991
82175,0.518167843,0.518167843
82310,0.007885714,0.007885714
83453,0.365,0.365
83512,0.001815662,0.001815662
83647,0.1175,0.1175
83924,0.028857143,0.028857143
84849,0.621763604,0.621763604
85584,0.9887257,0.9887257
86127,0.934571429,0.934571429
86186,0.073000732,0.073000732
86321,0.022757143,0.022757143
86598,0.001,0.001
86921,0.982574529,0.982574529
87523,0.688664805,0.688664805
87658,0.003842857,0.003842857
88258,0.988948871,0.988948871
88860,0.410894148,0.410894148
88995,0.004771429,0.004771429
90197,0.173858266,0.173858266
91475,0.871,0.871
91534,0.035821824,0.035821824
91669,0.080371429,0.080371429
91946,0.060857143,0.060857143
92269,0.748467757,0.748467757
92812,0.853285714,0.853285714
92871,0.034457265,0.034457265
93006,0.099214286,0.099214286
93283,0.012428571,0.012428571
94149,0.924285714,0.924285714
94208,0.044130846,0.044130846
94343,0.0272,0.0272
94620,0.001142857,0.001142857
94943,0.985497857,0.985497857
95545,0.595901342,0.595901342
95680,0.004857143,0.004857143
96280,0.6504718,0.6504718
96823,0.765714286,0.765714286
96882,0.01763503,0.01763503
97017,0.091571429,0.091571429
97294,0.020571429,0.020571429
98160,0.996714286,0.996714286
98219,0.224221465,0.224221465
98354,0.005985714,0.005985714
99556,0.52626756,0.52626756
100834,0.966714286,0.966714286
100893,0.174680776,0.174680776
101028,0.015085714,0.015085714
102171,0.996,0.996
102230,0.364303979,0.364303979
103508,0.897714286,0.897714286
103567,0.048969719,0.048969719
103702,0.043128571,0.043128571
103979,0.008714286,0.008714286
104302,0.614605657,0.614605657
104845,0.667857143,0.667857143
104904,0.00499588,0.00499588
105039,0.142185714,0.142185714
105316,0.014714286,0.014714286
105595,0.033,0.033
106182,0.589,0.589
106241,0.015213952,0.015213952
106376,0.159442857,0.159442857
106653,0.034428571,0.034428571
107519,0.903,0.903
107578,0.135034932,0.135034932
107713,0.042642857,0.042642857
107990,0.009714286,0.009714286
108856,0.616857143,0.616857143
108915,0.04093584,0.04093584
109050,0.093371429,0.093371429
109327,0.025285714,0.025285714
109650,0.93963698,0.93963698
110193,0.839,0.839
110252,0.054446692,0.054446692
110387,0.032,0.032
110664,0.009571429,0.009571429
110987,0.932509986,0.932509986
111589,0.532648157,0.532648157
112324,0.964685614,0.964685614
112926,0.314140792,0.314140792
113061,0.008857143,0.008857143
114263,0.803775708,0.803775708
114398,0.0033,0.0033
115541,0.846857143,0.846857143
115600,0.021434605,0.021434605
115735,0.0784,0.0784
116012,0.003857143,0.003857143
116335,0.965952171,0.965952171
116878,0.802571429,0.802571429
116937,0.033275954,0.033275954
117072,0.043814286,0.043814286
117349,0.001714286,0.001714286
118215,0.948571429,0.948571429
118274,0.066948741,0.066948741
118409,0.027485714,0.027485714
118686,0.001,0.001
119552,0.816857143,0.816857143
119611,0.006974777,0.006974777
119746,0.0414,0.0414
120346,0.997340343,0.997340343
120889,0.998,0.998
120948,0.396967338,0.396967338
121083,0.0057,0.0057
123622,0.255300402,0.255300402
123757,0.005842857,0.005842857
124959,0.330460167,0.330460167
125094,0.004628571,0.004628571
126237,0.933142857,0.933142857
126296,0.111518601,0.111518601
126431,0.021171429,0.021171429
126708,0.021285714,0.021285714
127031,0.999835743,0.999835743
127633,0.579802563,0.579802563
127768,0.003871429,0.003871429
128368,0.990889433,0.990889433
128911,0.964714286,0.964714286
128970,0.110937085,0.110937085
129105,0.024542857,0.024542857
129705,0.985100514,0.985100514
130248,0.935571429,0.935571429
130307,0.02511683,0.02511683
130442,0.035214286,0.035214286
131585,0.552142857,0.552142857
131644,0.037683821,0.037683821
131779,0.099928571,0.099928571
132056,0.073142857,0.073142857
132922,0.616,0.616
132981,0.036910656,0.036910656
133116,0.067014286,0.067014286
134259,0.991,0.991
134453,0.038314286,0.038314286
135053,0.9947473,0.9947473
135596,0.956,0.956
135655,0.692285714,0.692285714
135790,0.005871429,0.005871429
138270,0.99,0.99
138329,0.21949731,0.21949731
138464,0.011971429,0.011971429
139064,0.948561729,0.948561729
139607,0.831,0.831
139666,0.074102952,0.074102952
139801,0.041385714,0.041385714
140078,0.001,0.001
140401,0.778872086,0.778872086
140944,0.545428571,0.545428571
141003,0.006864517,0.006864517
141138,0.102785714,0.102785714
141415,0.001714286,0.001714286
142281,0.984,0.984
142340,0.362170494,0.362170494
142475,0.013428571,0.013428571
143075,0.92784428,0.92784428
143677,0.106661743,0.106661743
143812,0.015228571,0.015228571
144412,0.787284914,0.787284914
144955,0.798142857,0.798142857
145014,0.02008357,0.02008357
145149,0.120471429,0.120471429
145426,0.229857143,0.229857143
146292,0.656428571,0.656428571
146351,0.001361564,0.001361564
146486,0.130428571,0.130428571
146763,0.020142857,0.020142857
147823,0.024142857,0.024142857
149025,0.600100628,0.600100628
149760,0.963086186,0.963086186
150303,0.926,0.926
150362,0.302899081,0.302899081
150497,0.010171429,0.010171429
151699,0.596947746,0.596947746
151834,0.003771429,0.003771429
153036,0.333584636,0.333584636
153771,0.9218179,0.9218179
154314,0.993,0.993
154373,0.222397407,0.222397407
154508,0.013842857,0.013842857
155651,0.417,0.417
155710,0.004765874,0.004765874
155845,0.086871429,0.086871429
156122,0.006857143,0.006857143
156988,0.700571429,0.700571429
157047,0.003972754,0.003972754
157182,0.130957143,0.130957143
157459,0.139857143,0.139857143
158325,0.987714286,0.987714286
158384,0.417463934,0.417463934
158519,0.008528571,0.008528571
158796,0.004,0.004
159662,0.965428571,0.965428571
159721,0.079622659,0.079622659
159856,0.028114286,0.028114286
160133,0.001,0.001
160999,0.527,0.527
161058,0.004575454,0.004575454
161193,0.183614286,0.183614286
161470,0.014,0.014
162395,0.345154069,0.345154069
162530,0.006957143,0.006957143
163673,0.935857143,0.935857143
163732,0.031194112,0.031194112
163867,0.040514286,0.040514286
164467,0.689880886,0.689880886
165010,0.444857143,0.444857143
165069,0.006590563,0.006590563
165204,0.103385714,0.103385714
165481,0.006714286,0.006714286
165804,0.951780857,0.951780857
166347,0.994285714,0.994285714
166406,0.138574217,0.138574217
166541,0.016042857,0.016042857
166818,0.011,0.011
167141,0.965458429,0.965458429
167684,0.907857143,0.907857143
167743,0.147825747,0.147825747
167878,0.020685714,0.020685714
168155,0.003,0.003
169021,0.897857143,0.897857143
169080,0.098191196,0.098191196
169215,0.048771429,0.048771429
169815,0.9411952,0.9411952
170358,0.942857143,0.942857143
170417,0.111447013,0.111447013
170505,0.0002328,0.0002328
170552,0.024385714,0.024385714
170829,0.005428571,0.005428571
171754,0.539990248,0.539990248
171889,0.004614286,0.004614286
172489,0.933990614,0.933990614
173032,0.743428571,0.743428571
173091,0.042309369,0.042309369
173226,0.046842857,0.046842857
173503,0.001,0.001
173826,0.972008775,0.972008775
174369,0.979571429,0.979571429
174428,0.280375172,0.280375172
174563,0.011171429,0.011171429
175163,0.849664,0.849664
175706,0.799714286,0.799714286
175765,0.107230898,0.107230898
175900,0.042557143,0.042557143
176177,0.001,0.001
176500,0.71109605,0.71109605
177043,0.437714286,0.437714286
177102,0.005894204,0.005894204
177237,0.137785714,0.137785714
177514,0.106428571,0.106428571
178380,0.732428571,0.732428571
178439,0.000733618,0.000733618
178574,0.069071429,0.069071429
178851,0.007857143,0.007857143
179174,0.891191157,0.891191157
179717,0.835428571,0.835428571
179776,0.03637109,0.03637109
179911,0.068471429,0.068471429
180188,0.149857143,0.149857143
181054,0.809,0.809
181113,0.006805095,0.006805095
181248,0.0648,0.0648
181525,0.004714286,0.004714286
181848,0.987553986,0.987553986
182450,0.705790089,0.705790089
182585,0.005557143,0.005557143
183728,0.950714286,0.950714286
183787,0.283225739,0.283225739
184522,0.9835844,0.9835844
185124,0.623731641,0.623731641
185259,0.006742857,0.006742857
186402,0.823428571,0.823428571
186461,0.023766472,0.023766472
186596,0.0333,0.0333
186873,0.001,0.001
187196,0.401862429,0.401862429
187739,0.454285714,0.454285714
187798,0.002119623,0.002119623
187933,0.185128571,0.185128571
188210,0.009428571,0.009428571
189076,0.581,0.581
189135,0.02588467,0.02588467
189270,0.164185714,0.164185714
189547,0.036428571,0.036428571
190413,0.962428571,0.962428571
191207,0.993133729,0.993133729
191809,0.777328571,0.777328571
191944,0.004214286,0.004214286
193087,0.869571429,0.869571429
193146,0.083493044,0.083493044
193281,0.014114286,0.014114286
193881,0.62298805,0.62298805
194424,0.894571429,0.894571429
194483,0.049619694,0.049619694
194618,0.102757143,0.102757143
194895,0.001,0.001
195955,0.026,0.026
196555,0.970232567,0.970232567
197098,0.919428571,0.919428571
197157,0.125769057,0.125769057
197292,0.0234,0.0234
197569,0.009857143,0.009857143
198435,0.364571429,0.364571429
198494,0.014813307,0.014813307
198629,0.075371429,0.075371429
198906,0.007,0.007
199772,0.807857143,0.807857143
199831,0.050767465,0.050767465
199966,0.028785714,0.028785714
200243,0.001714286,0.001714286
201109,0.828285714,0.828285714
201168,0.150351017,0.150351017
201303,0.0304,0.0304
201580,0.005142857,0.005142857
202446,0.893142857,0.893142857
202505,0.048665435,0.048665435
202640,0.037014286,0.037014286
202917,0.001,0.001
203240,0.960847886,0.960847886
203842,0.314915242,0.314915242
203977,0.007857143,0.007857143
205120,0.986,0.986
205179,0.305710195,0.305710195
205314,0.005328571,0.005328571
206516,0.216739873,0.216739873
207853,0.210068555,0.210068555
207988,0.010628571,0.010628571
208588,0.963446014,0.963446014
209190,0.156398099,0.156398099
209325,0.022214286,0.022214286
209925,0.9298938,0.9298938
210468,0.958285714,0.958285714
210527,0.123058343,0.123058343
210662,0.018128571,0.018128571
211805,0.680714286,0.680714286
211864,0.00665443,0.00665443
211999,0.122985714,0.122985714
212276,0.035857143,0.035857143
213142,0.950428571,0.950428571
213201,0.031973778,0.031973778
213336,0.019585714,0.019585714
214538,0.503684787,0.503684787
214673,0.004471429,0.004471429
215816,0.852428571,0.852428571
215875,0.114154667,0.114154667
216010,0.0731,0.0731
216287,0.013857143,0.013857143
217153,0.963142857,0.963142857
217212,0.130666378,0.130666378
217347,0.016628571,0.016628571
217947,0.70796822,0.70796822
218490,0.689,0.689
218549,0.037965902,0.037965902
218684,0.107857143,0.107857143
218961,0.005857143,0.005857143
219284,0.993035833,0.993035833
219827,0.993857143,0.993857143
219886,0.275375,0.275375
220021,0.0099,0.0099
221164,0.963,0.963
221223,0.232755938,0.232755938
221358,0.0139,0.0139
222501,0.514857143,0.514857143
222560,0.002017914,0.002017914
222695,0.219342857,0.219342857
222972,0.014142857,0.014142857
223897,0.563440526,0.563440526
224032,0.003114286,0.003114286
226571,0.459526174,0.459526174
226706,0.010228571,0.010228571
227306,0.971934833,0.971934833
227849,0.996,0.996
227908,0.411770841,0.411770841
228043,0.004528571,0.004528571
229186,0.799714286,0.799714286
229245,0.009523443,0.009523443
229380,0.035242857,0.035242857
230582,0.007034409,0.007034409
230717,0.170142857,0.170142857
230994,0.006571429,0.006571429
231317,0.9526984,0.9526984
231860,0.897714286,0.897714286
231919,0.073786871,0.073786871
232054,0.077785714,0.077785714
232331,0.166428571,0.166428571
233391,0.148114286,0.148114286
233668,0.032,0.032
233991,0.997861471,0.997861471
234593,0.394055318,0.394055318
234728,0.005842857,0.005842857
235328,0.970954957,0.970954957
235871,0.841,0.841
235930,0.018512282,0.018512282
236065,0.014057143,0.014057143
236342,0.001,0.001
236665,0.948847467,0.948847467
237208,0.983,0.983
237267,0.302249386,0.302249386
237402,0.013571429,0.013571429
238002,0.9558185,0.9558185
238545,0.938,0.938
238604,0.198812812,0.198812812
238739,0.018257143,0.018257143
240676,0.988827367,0.988827367
241219,0.948571429,0.948571429
241278,0.088108747,0.088108747
241413,0.022657143,0.022657143
242556,0.591428571,0.591428571
242750,0.093714286,0.093714286
243893,0.912,0.912
243952,0.068620934,0.068620934
244087,0.027628571,0.027628571
244364,0.011428571,0.011428571
245230,0.592,0.592
245289,0.028938647,0.028938647
245424,0.125057143,0.125057143
245701,0.254142857,0.254142857
246024,0.974636571,0.974636571
246626,0.771365236,0.771365236
246761,0.003714286,0.003714286
247361,0.986051014,0.986051014
247963,0.674857143,0.674857143
248098,0.005228571,0.005228571
249241,0.884571429,0.884571429
249300,0.05021012,0.05021012
249435,0.019757143,0.019757143
250035,0.965600643,0.965600643
250578,0.635714286,0.635714286
250637,0.016453573,0.016453573
250772,0.077342857,0.077342857
251049,0.001285714,0.001285714
251915,0.54,0.54
251974,0.008497604,0.008497604
252109,0.098528571,0.098528571
252386,0.066142857,0.066142857
253252,0.937857143,0.937857143
253311,0.121829466,0.121829466
253446,0.0186,0.0186
253723,0.015285714,0.015285714
254589,0.595714286,0.595714286
254648,0.000891547,0.000891547
254783,0.085242857,0.085242857
255926,0.554857143,0.554857143
255985,0.015142857,0.015142857
256120,0.113714286,0.113714286
256397,0.043285714,0.043285714
257263,0.986857143,0.986857143
257322,0.043732075,0.043732075
257457,0.016285714,0.016285714
258659,0.259513997,0.259513997
258794,0.025657143,0.025657143
259071,0.014,0.014
259394,0.980951314,0.980951314
259937,0.921,0.921
259996,0.091874303,0.091874303
260131,0.024028571,0.024028571
260408,0.001,0.001
260731,0.974715071,0.974715071
261274,0.957,0.957
261333,0.151156402,0.151156402
261468,0.026628571,0.026628571
262611,0.769285714,0.769285714
262670,0.007685384,0.007685384
262805,0.068914286,0.068914286
265285,0.956142857,0.956142857
265344,0.1,0.1
265479,0.037628571,0.037628571
266622,0.625285714,0.625285714
266681,0.013929133,0.013929133
266816,0.116857143,0.116857143
267093,0.064142857,0.064142857
267416,0.906093083,0.906093083
267959,0.973714286,0.973714286
268018,0.035080199,0.035080199
268153,0.015328571,0.015328571
268430,0.009714286,0.009714286
269296,0.996857143,0.996857143
269355,0.381710699,0.381710699
269490,0.010085714,0.010085714
270090,0.996444886,0.996444886
270692,0.620430136,0.620430136
270827,0.0061,0.0061
271427,0.950223957,0.950223957
271970,0.989571429,0.989571429
272029,0.637458365,0.637458365
272164,0.008042857,0.008042857
273307,0.979428571,0.979428571
273366,0.198613332,0.198613332
273501,0.015442857,0.015442857
273778,0.006142857,0.006142857
274644,0.88,0.88
274703,0.033440378,0.033440378
274838,0.052871429,0.052871429
275115,0.002285714,0.002285714
275981,0.814428571,0.814428571
276040,0.046747755,0.046747755
276175,0.022457143,0.022457143
276775,0.934453329,0.934453329
277377,0.105797985,0.105797985
277512,0.019014286,0.019014286
277789,0.006,0.006
278655,0.835285714,0.835285714
278714,0.093276108,0.093276108
278849,0.027185714,0.027185714
279126,0.003857143,0.003857143
280051,0.260989352,0.260989352
280786,0.8596185,0.8596185
281329,0.87,0.87
281388,0.098656383,0.098656383
281523,0.027342857,0.027342857
282666,0.571428571,0.571428571
282725,0.013431397,0.013431397
282860,0.081642857,0.081642857
283137,0.001,0.001
283460,0.8616745,0.8616745
284003,0.565714286,0.565714286
284062,0.022266541,0.022266541
284197,0.136185714,0.136185714
284474,0.141571429,0.141571429
285340,0.796428571,0.796428571
285399,0.066301219,0.066301219
285534,0.097957143,0.097957143
285811,0.200428571,0.200428571
